source,rss_url,premium,returned,article_count
3BL Media,https://3blmedia.com/rss.xml,no,yes,10
ABC News,https://abcnews.go.com/abcnews/topstories,no,yes,25
Action Against Hunger,https://www.actionagainsthunger.org/feed/,no,yes,10
AFAR,https://www.afar.com/index.atom,no,yes,12
Africa CDC,,no,no,0
AfricaNews,https://www.africanews.com/feed/,no,yes,50
AJEL,https://ajel.sa/feed,no,yes,50
AJWS,,no,no,0
Al Arabiya,,no,no,0
Al Bawaba,https://www.albawaba.com/rss.xml,no,yes,10
Al Jazeera,https://www.aljazeera.com/xml/rss/all.xml,yes,yes,25
Al Jazeera Videos,https://www.youtube.com/feeds/videos.xml?channel_id=UCNye-wNBqNL5ZzHSJj3l8Bg,no,yes,15
allAfrica.com,https://allafrica.com/tools/headlines/rdf/latest/headlines.rdf,no,yes,31
Alliance for Justice,,no,no,0
Alliance Mag,https://www.alliancemagazine.org/feed/,no,yes,10
AlMonitor,https://www.al-monitor.com/rss,no,yes,17
American Friends of Magen David Adom,https://afmda.org/news/feed/,no,yes,10
American Jewish Council,https://ajc.org/rss.xml,no,yes,10
American Red Cross,,no,no,0
Ammon News,https://en.ammonnews.net/rss.php?type=news&id=2,no,yes,30
Amnesty International,https://www.amnesty.org/en/feed/,no,yes,12
Amnesty International Canada,https://amnesty.ca/rss,no,yes,10
Amnesty International UK,,no,no,0
Amnesty International USA,,no,no,0
An-Nahar,https://en.annahar.com/rss,no,yes,50
Anadolu Ajansi,https://www.aa.com.tr/en/rss/default?cat=guncel,no,yes,30
Andscape,https://andscape.com/feed/,no,yes,10
Anthropocene Magazine,https://www.anthropocenemagazine.org/feed/,no,yes,30
Anti-Defamation League,https://adl.org/rss.xml,no,yes,10
Antisemitism.org,https://antisemitism.org/feed/,no,yes,10
Arab News,https://www.arabnews.com/rss.xml,no,yes,10
Art in America,https://www.artnews.com/c/art-in-america/feed/,no,yes,10
Artforum,https://www.artforum.com/feed/rss/,no,yes,12
ArtNet.com,https://news.artnet.com/feed,no,yes,10
ArtNews,https://www.artnews.com/feed/,yes,yes,10
ArtReview,https://artreview.com/rss.xml,no,yes,20
Arutz Sheva,https://www.israelnationalnews.com/Rss.aspx?act=.1,no,yes,20
Asharq Al-Awsat,https://english.aawsat.com/feed,no,yes,200
Asia Society,,no,no,0
Axios,https://api.axios.com/feed/,yes,yes,100
Bahrain News Agency,,no,no,0
BBC News,http://feeds.bbci.co.uk/news/rss.xml,yes,yes,31
BBC Pidgin,https://feeds.bbci.co.uk/pidgin/rss.xml,no,yes,25
Better World Campaign,https://betterworldcampaign.org/feed/,no,yes,10
Bill & Melinda Gates Foundation,,no,no,0
Biz InsiderIndia,,no,no,0
Biz of Fashion,https://www.businessoffashion.com/arc/outboundfeeds/rss/,no,yes,100
Black News.com,https://blacknews.com/feed/,no,yes,47
Bloomberg,,no,no,0
Bloomberg Philan,,no,no,0
Bloomberg Pro,,no,no,0
Brookings Institution,,no,no,0
Business & Human Rights Resource Centre,,no,no,0
Business Insider Australia,https://www.businessinsider.com/rss,no,yes,20
BusinessGreen,,no,no,0
BWC,,no,no,0
C2ES,https://www.c2es.org/feed/,no,yes,10
Canary Media,https://www.canarymedia.com/rss.xml,no,yes,100
Candid,,no,no,0
CAPAC,https://capac.house.gov/rss.xml,no,yes,10
Carbon Pulse,https://carbon-pulse.com/feed/,no,yes,10
CARE International,,no,no,0
Carnegie Corp,,no,no,0
Carnegie Endwmnt,,no,no,0
CBC News,https://www.cbc.ca/webfeed/rss/rss-topstories,yes,yes,18
CBS News,https://www.cbsnews.com/latest/rss/main,no,yes,30
CBS Sports,https://www.cbssports.com/rss/headlines/,no,yes,35
CDC Foundation,https://www.cdcfoundation.org/rss.xml,no,yes,10
CDDEP,,no,no,0
CDP,,no,no,0
Center for American Progress,,no,no,0
Centers for Disease Control,,no,no,0
CGD,,no,no,0
Channel News Asia,https://www.channelnewsasia.com/api/v1/rss-outbound-feed?_format=xml,no,yes,20
CHCI,https://chci.org/feed/,no,yes,10
Chicago Tribune,,no,no,0
Children & War,,no,no,0
CHRD,https://www.nchrd.org/feed/,no,yes,10
Christian Science Monitor,https://rss.csmonitor.com/feeds/all,no,yes,10
CityAM,https://www.cityam.com/feed/,yes,yes,30
Civil Eats,https://civileats.com/feed/,no,yes,20
CleanTechnica,https://cleantechnica.com/feed/,no,yes,45
Climate Central,https://www.climatecentral.org/rss,no,yes,30
Climate Home News,https://www.climatechangenews.com/feed/,no,yes,40
CNN,http://rss.cnn.com/rss/cnn_topstories.rss,no,yes,69
Columbia Earth Institute,https://news.climate.columbia.edu/feed/,no,yes,10
Columbia ISHR,,no,no,0
Combat Antisemitism Movement,https://combatantisemitism.org/feed/,no,yes,10
Committee100,https://www.committee100.org/feed/,no,yes,10
Commonwealth Secretariat,https://thecommonwealth.org/rss.xml,no,yes,10
Concern,,no,no,0
Conde Nast Traveller,https://www.cntraveller.com/feed/rss,no,yes,30
Conservation International,https://www.conservation.org/feed.xml,no,yes,200
Cornell News,https://news.cornell.edu/taxonomy/term/14242/feed,no,yes,50
Council of Europe,,no,no,0
CRIF,,no,no,0
Daily Express UK,,no,no,0
Dallas Morning News,,no,no,0
Department of Commerce: National Oceanic & Atmospheric Administration,https://www.noaa.gov/rss.xml,no,yes,10
Department of Justice (DoJ),https://www.justice.gov/rss.xml,no,yes,10
Department of Justice (DoJ): Office of Public Affairs,https://www.justice.gov/rss.xml,no,yes,10
Der Spiegel,https://www.spiegel.de/international/index.rss,no,yes,20
Deutsche Welle,https://rss.dw.com/rdf/rss-en-all,no,yes,142
Devex,,no,no,0
Dialogue Earth,https://dialogue.earth/feed/,no,yes,10
Direct Relief,https://www.directrelief.org/feed/,no,yes,50
Disability Insider,https://disabilityinsider.com/feed/,no,yes,10
Disability Scoop,https://www.disabilityscoop.com/feed/,no,yes,10
Discover,https://www.discovermagazine.com/rss/all,no,yes,20
Doctors Without Borders,https://www.doctorswithoutborders.org/rss.xml,no,yes,10
Down To Earth,,no,no,0
DREDF,https://dredf.org/feed/,no,yes,10
E&E News,https://www.eenews.net/articles/feed/,no,yes,50
Earth & Space Science News,https://eos.org/feed,no,yes,15
Earth Day Networ,https://www.earthday.org/feed/,no,yes,10
Earth Works,https://earthworks.org/feed/,no,yes,10
Earth.org,https://earth.org/feed/,no,yes,10
EC News,,no,no,0
ECCHR,,no,no,0
Eco-Business.com,https://www.eco-business.com/feeds/news/,no,yes,20
Emirates News Agency,,no,no,0
Enab Baladi,,no,no,0
Environmental Defense Fund EDF,,no,no,0
Environmental Leader,,no,no,0
Environmental News Network,https://www.enn.com/?layout=ja_teline_v:taggedblog&amp;types[0]=1&amp;format=feed&amp;type=rss,no,yes,50
Environmental Working Group,https://ewg.org/rss.xml,no,yes,10
Equality Now,https://equalitynow.org/feed/,no,yes,10
ESG Today,https://www.esgtoday.com/feed/,no,yes,10
ESPN,,no,no,0
Esquire,https://www.esquire.com/rss/all.xml,no,yes,50
Esquire UK,https://www.esquire.com/uk/rss/default.xml,no,yes,49
EU Reporter,https://www.eureporter.co/feed/,no,yes,7
EurekAlert!,,no,no,0
EuroNews,https://www.euronews.com/rss,no,yes,50
European Bank for Reconstruction and Redevelopment,,no,no,0
European Centre for Disease Prevention,https://www.ecdc.europa.eu/en/taxonomy/term/323//feed,no,yes,10
European Environment Agency,,no,no,0
European Investment Bank,https://www.eib.org/about/jobs/index.rss,no,yes,15
European Jewish Press,,no,no,0
European Union,,no,no,0
European Union Agency for Fundamental Rights,https://fra.europa.eu/rss.xml,no,yes,10
Facing History and Ourselves,,no,no,0
Fair Trade,,no,no,0
FairPlanet,https://www.fairplanet.org/feed.xml,no,yes,25
FAO of the United Nations,,no,no,0
Fars News Agency,,no,no,0
Fast Company,https://www.fastcompany.com/latest/rss,no,yes,20
